"id","affectation_id","salle_id","jour_semaine","heure_debut","heure_fin","date_debut_validite","date_fin_validite","created_at","horaire_edt_id"
"1","1","1",1,"08:00:00","10:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"2","1","1",3,"10:00:00","12:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"3","2","3",2,"08:00:00","10:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"4","2","3",4,"14:00:00","16:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"5","3","3",1,"10:00:00","12:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"6","3","3",3,"08:00:00","10:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"7","3","3",5,"14:00:00","16:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"8","4","5",2,"10:00:00","12:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"9","4","5",4,"08:00:00","10:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"10","5","5",1,"14:00:00","16:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"11","5","5",3,"14:00:00","16:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"12","6","5",2,"14:00:00","16:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"13","6","5",4,"10:00:00","12:00:00",NULL,NULL,"2026-06-13 22:18:34.90543",NULL
"14","1","1",1,"07:00:00","08:00:00",NULL,NULL,"2026-06-24 16:46:22.678138","1"
"15","1","1",1,"08:00:00","09:00:00",NULL,NULL,"2026-06-24 16:46:23.1475","2"
"16","1","1",3,"09:00:00","10:00:00",NULL,NULL,"2026-06-24 16:46:23.188185","3"
"17","1","1",3,"10:00:00","11:00:00",NULL,NULL,"2026-06-24 16:46:23.207908","4"
